Accession,tp8,tp10,tp12,tp14,tp16,tp18,tp20,tp22,tp26,tp28,tp30,tp32,tp34,tp36,tp38,tp40,tp42,tp44,tp46,tp48,tp2,tp4,tp6
PF3D7_0606600.1,146.891861,83.054924,81.978493,89.17749,89.901756,80.026436,48.997379,54.141712,63.683941,68.34922,52.411587,48.142998,45.324715,34.278008,31.517826,24.271294,25.908031,20.338003,35.502216,15.725238,25.286718,60.85078,37.365677
PF3D7_0606700.1,76.914818,67.79422,70.85173,79.219521,84.164467,84.312561,57.661755,54.134048,59.11879,69.114273,66.682518,71.21508,95.011742,97.798737,100.168709,105.90937,99.60997,62.640163,74.551956,29.572527,26.717133,52.00914,34.008217
PF3D7_0606800.1,3.390866,0.997818,1.703892,1.286828,2.21414,1.890071,1.226465,1.233602,2.559405,5.75492,12.424681,18.423376,28.952354,38.880424,31.876499,0.816385,30.371382,20.049313,17.335932,9.481198,3.808075,5.854499,2.978761
PF3D7_0606900.1,5.553558,3.720021,28.514528,2.820037,3.759171,4.087345,4.270545,5.77636,4.821842,34.217987,5.636869,4.493207,3.453665,4.008022,3.14751,1.351885,1.579789,1.224378,0.907514,0.972052,1.441654,1.921305,1.65644
PF3D7_0607000.1,111.513481,71.131248,36.964748,78.603233,94.900299,91.050064,69.163155,63.494358,84.864449,58.942661,83.894691,93.622612,64.259804,62.014027,58.577301,38.312,44.522694,27.690233,32.258785,13.391134,18.494606,36.105255,23.357307
PF3D7_0607100.1,0,0,0.831284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0607200.1,0.839054,0,0.549399,0.312062,0.229796,0.464574,0,0.241602,0.576553,0.681638,1.829692,1.677247,2.541982,1.695903,2.395388,2.458611,1.752257,0.604009,0.778672,0,0.274812,0,0.552978
PF3D7_0607300.1,0.20138,0.387369,0.486803,0.183496,0.929322,0,0.484374,0.531113,1.069784,0.917825,2.114531,1.913536,1.149514,1.09323,1.499394,1.390234,1.108288,0.275038,0.301158,0.153587,0,1.086899,0.269909
PF3D7_0607400.1,0,8.919779,8.289547,10.202082,15.447023,15.268441,13.091636,9.20862,14.192984,20.474464,24.575567,26.584406,30.686378,27.963318,27.726688,25.205629,17.740198,11.795878,8.803451,0,0,6.436795,0
PF3D7_0607500.1,0.227267,0.337375,0.485536,1.107451,1.443956,1.572887,0.925816,1.282932,2.21448,2.273966,2.384894,0.929664,1.386628,1.655536,0.860395,0.812196,0.697211,0.413609,0.332505,0.200773,0.271984,0.147445,0.228643
PF3D7_0607600.1,1.741336,1.151524,1.416285,1.802733,2.003686,1.640581,1.203629,1.270788,4.635683,5.190073,9.37253,13.064523,23.681305,36.047859,44.971241,47.091713,45.793659,22.579769,25.518398,9.605372,7.292282,6.685055,3.709391
PF3D7_0607700.1,0.620752,0.340522,1.510274,1.1022,1.123795,1.313574,0.815197,0.872533,0.694247,1.008569,1.187551,4.284751,9.676129,24.483681,38.538094,45.033081,48.079823,23.788946,33.948536,8.95916,5.622737,6.998856,2.710809
PF3D7_0607800.1,1.128738,0.596618,0.534146,0.807905,1.213675,0.971888,0.9177,1.451709,6.440265,9.250895,10.334932,10.687693,8.269248,4.069788,2.175443,2.743315,2.129188,1.504869,1.309144,0.912873,0.907709,1.349347,1.008052
PF3D7_0607900.1,1.321217,0.967016,2.011127,1.189948,1.386707,1.139447,1.696281,2.898507,9.43232,2.301363,15.813935,14.839506,2.628195,10.518088,11.776736,7.997203,6.605896,2.688543,3.303829,1.405218,0.87699,1.441198,1.691895
PF3D7_0608000.1,0,0,0.868512,0,3.610644,5.946546,0,1.970384,11.147478,10.662403,11.956259,13.129993,0,9.573623,8.446179,6.608405,3.78292,0,0,1.39761,0,0,0
PF3D7_0608100.1,2.575846,1.951265,3.711701,3.624999,5.615437,5.94616,3.2869,4.388275,14.729389,17.039654,17.117895,28.673592,17.537622,23.522676,21.14683,20.159136,14.277797,7.707161,6.094115,2.205032,1.523908,2.259629,1.087721
PF3D7_0608200.1,0.558144,0,0,0,0,0,0.162073,0.599505,1.734677,4.016154,1.725739,0.414835,1.471011,2.885911,1.114523,0.591331,0.545806,0,0,0.31962,0,0,0
PF3D7_0608300.1,0.2881,0.201002,0.322539,0.258589,0.30724,0.358445,0.570702,1.100458,2.531421,0.861631,3.524633,2.487535,3.19561,1.142927,1.866452,1.651265,1.096966,0.460436,0.622555,0.371667,0.375018,0.038562,0.169164
PF3D7_0608310.1,3.028201,4.740426,5.960702,4.996011,7.237813,5.182472,4.824955,6.257274,11.722341,6.641473,12.26404,11.296824,14.822598,7.253233,6.748874,6.126237,4.023118,2.679763,2.112627,1.245935,1.640138,1.93333,1.825255
PF3D7_0608400.1,0,6.857122,6.255443,6.252792,4.2388,6.803114,4.835823,6.509443,33.3909,59.170235,79.436844,99.809731,92.522072,96.951782,86.67054,72.317505,51.576008,38.042896,21.328335,17.196093,12.942574,11.944751,5.607486
PF3D7_0608500.1,23.01993,14.158122,18.595541,23.063198,25.561975,38.758659,35.498657,47.139839,69.690926,98.652588,109.868866,116.032249,142.37619,124.650063,119.864883,109.222061,71.607071,50.016022,36.447601,26.39827,15.106801,15.092826,11.674408
PF3D7_0608600.1,0,0.359389,0.441744,0,0.323687,0.666998,0,0.83355,0.508318,0.485336,0.16784,1.477989,0.779216,0.173297,2.027692,0.791999,2.013096,1.360306,1.462513,0,0,0.751133,0
PF3D7_0608700.1,10.340529,15.568323,7.335352,5.569095,2.676928,0.164316,2.805568,0.262611,0.179818,0.308219,3.756712,1.486401,0.059043,0.063915,1.458081,0.032709,0.484806,0.423023,0.626333,0.346676,1.216715,1.565231,5.359753
PF3D7_0608800.1,0,0,0,1.154424,0,5.200431,10.402996,14.786084,62.449802,23.539644,33.479668,40.109909,26.318432,11.970906,12.170197,25.604441,4.162694,2.755372,2.088396,0.685887,0,0,0
PF3D7_0608900.1,0,0,0,0.000651,0.001567,0.037414,0,0,0.018542,0.032586,0.011932,0.007935,0.116948,0.258769,0.355823,0.144801,0.111644,0.05555,0.092884,0.024744,0,0.034014,0
PF3D7_0609000.1,27.500307,16.480024,27.734148,32.778282,36.586304,36.272381,28.542509,29.360125,38.379494,39.800499,33.971584,35.934612,40.460304,37.848263,42.310799,39.078941,38.376011,23.179621,27.187843,8.693624,8.076793,14.831518,10.304333
PF3D7_0609100.1,97.853264,129.752518,105.824364,117.320442,123.652069,139.848526,101.77787,87.550629,67.108612,73.931274,78.927475,68.05722,74.802376,67.806801,64.310104,71.676308,70.892456,66.895256,58.529541,50.733105,45.662315,71.238411,58.849697
PF3D7_0609200.1,0.903256,0.59057,0.442218,1.265287,1.259299,0.572293,1.100051,1.099004,0.979412,1.070625,0.795295,0.890748,1.06309,0.469382,0.700609,0.927429,0.618951,0.888144,1.595108,0,0.252404,0.37924,0.407528
PF3D7_0609300.1,1.097606,0.591514,0.711511,0.867929,0.692933,1.006058,0.620956,1.3802,3.876955,3.510887,4.753844,4.583862,6.587821,6.268948,5.528194,4.889594,3.218871,1.906211,1.956423,0.831448,0.519269,0.978297,0.327186
PF3D7_0609400.1,0.653577,0.280789,1.249195,1.23574,2.653344,2.834792,3.668332,5.200414,6.55437,8.420974,5.703838,6.214513,5.653363,4.146778,3.118625,3.643242,1.947179,1.472609,0.880093,0.678763,0.225173,0.962453,0.70166
PF3D7_0609500.1,0.7573,0.166463,0.851438,0.363209,0.595935,0.521542,0.239208,0.5221,0.234202,0.128885,0.042784,0.292142,0.183135,0.272147,0.340543,0.372911,0.690994,0.325898,0.450121,0.066565,0.316775,0.430989,0.234725
PF3D7_0609600.1,0.256935,0,0.116738,0.084997,0.143138,0.375051,0.189007,0.266657,0.186151,0,0.084906,0,0.405613,0.616007,0.536331,1.045472,0.37212,0.349164,0.463611,0.186897,0.336775,0,0
PF3D7_0609700.1,96.934525,62.342361,61.118469,60.748371,58.881531,52.341019,32.158077,26.163649,19.808302,16.572067,10.199879,8.391134,7.52567,12.215833,26.585741,48.256783,72.319817,62.376293,83.815308,33.936043,30.383963,58.886982,33.934704
PF3D7_0609800.1,5.064842,2.871924,3.336224,2.019652,2.490235,4.015326,1.055181,2.136832,0.633281,5.565746,7.607593,9.914296,21.751003,66.045189,138.409546,120.728973,214.250748,185.271423,194.456665,122.769478,74.359444,53.988079,27.961725
PF3D7_0609900.1,8.534599,5.857995,5.868581,5.578401,3.906589,3.282291,2.121096,2.299931,2.438313,3.666446,2.87204,2.981475,3.648763,2.844948,3.627407,4.779809,5.628365,3.559361,4.133617,2.112699,2.49071,3.270571,2.325045
PF3D7_0610000.1,1.704233,0.221628,1.825959,1.080923,1.045743,1.506124,1.907893,1.348606,8.730684,14.250347,15.976702,20.250038,20.148506,16.731686,12.878871,13.801404,10.873702,7.267223,5.514123,3.108084,3.565652,3.123145,0.704749
PF3D7_0610100.1,76.078552,56.000107,60.180519,54.497818,51.587318,48.809959,37.158958,43.052227,49.44973,71.36483,61.922459,74.426979,59.85582,49.188183,44.745407,40.119514,36.936787,28.623449,22.546661,15.664553,16.404652,22.913126,20.358133
PF3D7_0610200.1,24.181164,13.822979,18.629938,19.173927,19.691605,19.509367,12.277411,14.230109,19.255709,24.663809,23.499132,23.131876,20.863308,15.051315,16.097033,12.469966,9.088703,6.277172,6.223845,3.899939,2.869259,4.398278,3.307219
PF3D7_0610300.1,0,1.689015,0.442649,0,0,0,0,0,0,0.293716,1.19292,0.386511,0,2.313617,1.189626,0.622252,2.432001,0.716815,2.565742,0,0,0,0
PF3D7_0610400.1,651.752258,516.475464,529.746399,350.741425,338.641357,387.008179,349.167816,427.736572,1888.303833,3919.634033,6199.322266,8367.964844,11455.92481,15310.30566,17380.86328,21529.2207,20293.02148,18333.05664,12506.94824,11220.56836,7286.126465,5436.300293,2566.269775
PF3D7_0610500.1,2.368523,1.839755,3.606074,2.634268,4.106283,1.839694,3.412803,2.016356,3.41173,4.658305,4.865309,3.749734,4.190686,3.450385,1.180757,1.801478,1.09314,0.943395,0.666361,1.091931,0.776504,0.986387,1.08951
PF3D7_0610600.1,2.70864,2.253064,3.336032,3.985554,3.346372,7.955714,9.56158,18.163435,42.510971,54.729286,50.848034,43.261723,42.297848,40.9823,37.445072,40.514935,39.183552,29.266716,26.773714,14.538808,9.408636,8.555901,4.087369
PF3D7_0610700.1,21.214245,10.221788,13.177648,11.692406,12.773831,12.767184,11.506209,6.78827,12.619039,11.764215,11.033076,11.547373,9.608284,8.122197,6.282279,3.371165,2.451751,2.621566,2.627063,3.032487,3.726275,4.795883,5.804136
PF3D7_0610800.1,110.395142,82.245888,92.103897,91.199753,86.338669,92.841843,79.081322,80.416138,90.304512,105.90303,93.807701,82.521065,76.911758,55.423847,43.534054,31.978502,28.887669,21.888147,30.20915,26.259027,32.430149,62.045673,46.589546
PF3D7_0610900.1,12.54147,5.486845,12.66503,11.54898,9.344501,8.463969,6.408429,6.100013,6.291346,7.145346,5.116783,5.885142,5.461551,5.850715,6.761797,7.249595,7.537805,4.716227,6.501487,2.780766,3.153324,5.92766,3.973424
PF3D7_0611000.1,0,0,0.71935,0,0,0.291324,0.419206,0,1.454127,1.924288,3.579297,4.908985,8.127975,8.772056,7.031428,9.833372,5.491511,5.721019,4.259484,2.920936,2.411355,0.802014,0.644361
PF3D7_0611100.1,0.44956,0.580541,1.171947,1.264754,0.518882,0.286878,0,1.206052,4.684082,10.680748,16.147038,27.854874,24.53857,35.233707,41.966419,40.959763,27.829945,21.625858,11.161347,8.534772,1.933561,6.604321,1.68026
PF3D7_0611200.1,1.682896,1.208865,1.025418,1.458495,1.503968,1.495282,0.781795,4.726516,9.962235,19.265203,22.359613,25.841076,21.060389,22.078125,12.094585,13.991086,10.411318,8.341533,4.795333,2.846663,2.063013,1.335332,1.231361
PF3D7_0611300.1,3.993741,2.958487,2.969478,1.876255,3.79962,5.839224,3.335681,9.864931,26.18754,41.598343,43.091457,44.439571,52.585556,39.340229,31.292458,26.991463,15.149817,9.117599,9.598426,5.178884,4.540906,3.898858,3.478876
PF3D7_0611400.1,9.589937,6.185699,10.898649,8.020258,6.169698,6.970838,5.927176,5.323424,7.147527,7.008796,9.237211,9.305767,9.985219,8.937826,9.238425,9.716802,5.675749,4.189549,3.612626,2.757863,2.635381,4.573987,4.288582
PF3D7_0611500.1,0.441864,0.724828,0.474922,1.663841,1.56689,1.345608,0.217655,0.757962,1.802324,0.663127,1.636816,0.933217,0.627094,0.988563,0.406728,1.068396,0.906356,0.596268,0.719089,0.478701,1.151503,0.279764,0.151383
PF3D7_0611600.1,2.765989,2.141813,2.355664,1.759829,1.213405,2.07492,1.038513,1.219293,0.669157,0.900711,1.45854,4.143218,9.00633,17.448679,24.411766,35.075443,30.890764,26.141857,18.304321,9.990664,5.53548,3.901921,2.502828
PF3D7_0611700.1,103.248436,113.137016,130.548111,142.579193,155.136475,173.326385,160.656387,159.595535,182.827179,212.052307,229.838928,191.572449,213.611069,168.264938,120.103325,101.794815,63.769997,40.813736,37.294769,47.44836,47.548798,73.829865,56.020294
PF3D7_0611800.1,17.611599,10.664676,14.865374,5.853077,17.527304,18.281872,15.862906,18.568447,28.275515,31.543669,28.942047,30.812189,31.653349,25.36195,27.399162,28.767633,33.499866,29.183208,34.313019,17.440376,17.005432,21.714008,10.038436
PF3D7_0611900.1,0.553165,0,1.039503,0.889831,1.555285,1.086198,2.046027,3.609951,6.07724,10.580833,9.880316,6.986903,4.86444,4.161604,3.58364,3.084171,2.31981,1.162246,0.738612,0.771955,0.747232,1.328926,0
PF3D7_0612000.1,2.537689,0.970794,2.851107,1.110987,1.685341,2.282584,2.961802,0.841606,3.279452,9.330435,11.571214,15.21328,22.25367,19.264179,20.629232,17.753105,17.619671,10.435726,9.125568,5.117754,3.150199,2.20356,2.438586
PF3D7_0612100.1,45.682388,28.749205,40.97493,38.142239,31.97238,39.06255,34.106194,33.299561,36.347488,41.676277,38.102108,36.765594,42.709259,32.101196,30.104347,26.927767,20.070509,10.287041,8.820519,6.280083,9.445725,15.309507,12.61981
PF3D7_0612200.1,3.158084,1.464224,3.279764,4.740088,2.027975,0,1.312652,0,3.680963,3.461129,11.292057,22.831001,36.533199,56.149422,82.194382,90.067245,92.611572,55.254433,46.554886,15.667045,11.322474,13.099504,5.112087
